url_path_max,url_security_words_count,url_path_count,url_host_max,url_host_len,url_safe_browsing,avg_url_host_len,rank_country_url,url_token_count,url_token_max,avg_url_token_len,ipaddress_existence,url_asn_no,rank_url_host,url_host_count,avg_url_path_len,url_host,url_dots,url_path,url_len,url_address
0,0,0,6,10,-1,4.5,-1,3,6,4.333333333333333,0,-1,-1,2,0,google.com,1,,17,http://google.com
0,0,0,8,12,-1,5.5,-1,3,8,5.0,0,-1,-1,2,0,facebook.com,1,,19,http://facebook.com
0,0,0,7,11,-1,5.0,-1,3,7,4.666666666666667,0,-1,-1,2,0,youtube.com,1,,18,http://youtube.com
0,0,0,5,9,-1,4.0,-1,3,5,4.0,0,-1,-1,2,0,yahoo.com,1,,16,http://yahoo.com
0,0,0,5,9,-1,4.0,-1,3,5,4.0,0,-1,-1,2,0,baidu.com,1,,16,http://baidu.com
0,0,0,9,13,-1,6.0,-1,3,9,5.333333333333333,0,-1,-1,2,0,wikipedia.org,1,,20,http://wikipedia.org
0,0,0,3,6,-1,2.5,-1,3,4,3.0,0,-1,-1,2,0,qq.com,1,,13,http://qq.com
0,0,0,8,12,-1,5.5,-1,3,8,5.0,0,-1,-1,2,0,linkedin.com,1,,19,http://linkedin.com
0,0,0,4,8,-1,3.5,-1,3,4,3.6666666666666665,0,-1,-1,2,0,live.com,1,,15,http://live.com
0,0,0,7,11,-1,5.0,-1,3,7,4.666666666666667,0,-1,-1,2,0,twitter.com,1,,18,http://twitter.com
0,0,0,6,10,-1,4.5,-1,3,6,4.333333333333333,0,-1,-1,2,0,amazon.com,1,,17,http://amazon.com
0,0,0,6,10,-1,4.5,-1,3,6,4.333333333333333,0,-1,-1,2,0,taobao.com,1,,17,http://taobao.com
0,0,0,8,12,-1,5.5,-1,3,8,5.0,0,-1,-1,2,0,blogspot.com,1,,19,http://blogspot.com
0,0,0,6,12,-1,3.3333333333333335,-1,4,6,3.5,0,-1,-1,3,0,google.co.in,2,,19,http://google.co.in
0,0,0,9,13,-1,6.0,-1,3,9,5.333333333333333,0,-1,-1,2,0,wordpress.com,1,,20,http://wordpress.com
0,0,0,4,11,-1,3.0,-1,4,4,3.25,0,-1,-1,3,0,sina.com.cn,2,,18,http://sina.com.cn
0,0,0,6,9,-1,4.0,-1,3,6,4.0,0,-1,-1,2,0,yandex.ru,1,,16,http://yandex.ru
0,0,0,5,11,-1,3.0,-1,4,5,3.25,0,-1,-1,3,0,yahoo.co.jp,2,,18,http://yahoo.co.jp
0,0,0,4,8,-1,3.5,-1,3,4,3.6666666666666665,0,-1,-1,2,0,bing.com,1,,15,http://bing.com
0,0,0,6,10,-1,4.5,-1,3,6,4.333333333333333,0,-1,-1,2,0,hao123.com,1,,17,http://hao123.com
0,0,0,6,9,-1,4.0,-1,3,6,4.0,0,-1,-1,2,0,google.de,1,,16,http://google.de
0,0,0,3,6,-1,2.5,-1,3,4,3.0,0,-1,-1,2,0,vk.com,1,,13,http://vk.com
0,0,0,4,8,-1,3.5,-1,3,4,3.6666666666666665,0,-1,-1,2,0,ebay.com,1,,15,http://ebay.com
0,0,0,3,7,-1,3.0,-1,3,4,3.3333333333333335,0,-1,-1,2,0,163.com,1,,14,http://163.com
0,0,0,17,21,-1,10.0,-1,3,17,8.0,0,-1,-1,2,0,googleusercontent.com,1,,28,http://googleusercontent.com
0,0,0,6,12,-1,3.3333333333333335,-1,4,6,3.5,0,-1,-1,3,0,google.co.uk,2,,19,http://google.co.uk
0,0,0,6,10,-1,4.5,-1,3,6,4.333333333333333,0,-1,-1,2,0,tumblr.com,1,,17,http://tumblr.com
0,0,0,9,13,-1,6.0,-1,3,9,5.333333333333333,0,-1,-1,2,0,pinterest.com,1,,20,http://pinterest.com
0,0,0,6,9,-1,4.0,-1,3,6,4.0,0,-1,-1,2,0,google.fr,1,,16,http://google.fr
0,0,0,5,9,-1,4.0,-1,3,5,4.0,0,-1,-1,2,0,apple.com,1,,16,http://apple.com
